Feature,Importance
Q12,1.0
Q24,0.0
Q52,0.0
Q22,0.0
Q23,0.0
Q37,0.0
Q26,0.0
Q35,0.0
Q49,0.0
Q46,0.0
Q9,0.0
Q31,0.0
Q7,0.0
Q56,0.0
Q11,0.0
Q15,0.0
Q55,0.0
Q47,0.0
Q30,0.0
Q16,0.0
Q17,0.0
Q25,0.0
Q10,0.0
Q58,0.0
Q53,0.0
Q32,0.0
Q28,0.0
Q60,0.0
Q8,0.0
Q34,0.0
Q38,0.0
Q21,0.0
Q57,0.0
Q45,0.0
Q36,0.0
Q43,0.0
Q27,0.0
Q48,0.0
Q50,0.0
Q19,0.0
